Table,Column,Data Type,Nullable,Primary Key,Foreign Key,References
access_restrictions,DataType,character varying(128),NO,,,
access_restrictions,Id,uuid,NO,YES,,
access_restrictions,Note,character varying(1024),YES,,,
access_restrictions,RestrictedUserType,character varying(32),NO,,,
access_restrictions,SetAt,timestamp with time zone,NO,,,
access_restrictions,SetByKey,character varying(64),YES,,,
access_restrictions,WorkTaskId,uuid,NO,,,
bill_amendments,AmendmentNumber,character varying(32),NO,,,
bill_amendments,BillId,uuid,NO,,YES,bills.Id
bill_amendments,CapturedAt,timestamp with time zone,NO,,,
bill_amendments,Id,uuid,NO,YES,,
bill_amendments,Language,text,NO,,,
bill_amendments,Source,text,YES,,,
bill_fiscal_note_links,BillId,uuid,NO,,,
bill_fiscal_note_links,Id,uuid,NO,YES,,
bill_fiscal_note_links,LinkedAt,timestamp with time zone,NO,,,
bill_fiscal_note_links,LinkedByKey,character varying(64),NO,,,
bill_fiscal_note_links,WorkTaskId,uuid,NO,,,
bill_versions,BillId,uuid,NO,,YES,bills.Id
bill_versions,CapturedAt,timestamp with time zone,NO,,,
bill_versions,Id,uuid,NO,YES,,
bill_versions,Language,text,NO,,,
bill_versions,Source,text,YES,,,
bill_versions,VersionLabel,character varying(64),NO,,,
bills,Biennium,character varying(16),NO,,,
bills,BillNumber,character varying(32),NO,,,
bills,CreatedAt,timestamp with time zone,NO,,,
bills,CurrentLanguage,text,NO,,,
bills,CurrentVersion,character varying(64),NO,,,
bills,Id,uuid,NO,YES,,
bills,IsBudgetBill,boolean,NO,,,
bills,RequiresImplementation,boolean,NO,,,
bills,Status,character varying(32),NO,,,
bills,Title,character varying(512),NO,,,
bills,UpdatedAt,timestamp with time zone,NO,,,
bills,Year,integer,NO,,,
correspondence,BillId,uuid,YES,,,
correspondence,Body,text,YES,,,
correspondence,Id,uuid,NO,YES,,
correspondence,Recipient,character varying(256),NO,,,
correspondence,ResponseReceived,boolean,NO,,,
correspondence,SentAt,timestamp with time zone,NO,,,
correspondence,SentByKey,character varying(64),YES,,,
correspondence,Subject,character varying(512),NO,,,
correspondence,WorkTaskId,uuid,YES,,,
custom_reports,CreatedAt,timestamp with time zone,NO,,,
custom_reports,Id,uuid,NO,YES,,
custom_reports,Name,character varying(256),NO,,,
custom_reports,OwnerKey,character varying(64),NO,,,
custom_reports,Query,text,NO,,,
custom_reports,UpdatedAt,timestamp with time zone,NO,,,
demographic_data,Category,character varying(128),NO,,,
demographic_data,Id,uuid,NO,YES,,
demographic_data,Session,character varying(32),NO,,,
demographic_data,UpdatedAt,timestamp with time zone,NO,,,
demographic_data,Year,integer,NO,,,
document_templates,ApplicableWorkType,character varying(32),YES,,,
document_templates,Body,text,NO,,,
document_templates,CreatedAt,timestamp with time zone,NO,,,
document_templates,Id,uuid,NO,YES,,
document_templates,IsShared,boolean,NO,,,
document_templates,Name,character varying(256),NO,,,
document_templates,UpdatedAt,timestamp with time zone,NO,,,
document_templates,Version,integer,NO,,,
email_dispatches,Body,text,NO,,,
email_dispatches,Id,uuid,NO,YES,,
email_dispatches,Recipient,character varying(256),NO,,,
email_dispatches,SentAt,timestamp with time zone,NO,,,
email_dispatches,SentByKey,character varying(64),NO,,,
email_dispatches,Subject,character varying(512),NO,,,
executive_discussions,Answer,text,YES,,,
executive_discussions,AnsweredAt,timestamp with time zone,YES,,,
executive_discussions,AnsweredByKey,character varying(64),YES,,,
executive_discussions,AssociatedWorkTaskId,uuid,YES,,,
executive_discussions,AuthorKey,character varying(64),NO,,,
executive_discussions,BillId,uuid,NO,,,
executive_discussions,Id,uuid,NO,YES,,
executive_discussions,PostedAt,timestamp with time zone,NO,,,
executive_discussions,Question,text,NO,,,
executive_review_adjustments,AdjustedAt,timestamp with time zone,NO,,,
executive_review_adjustments,Id,uuid,NO,YES,,
executive_review_adjustments,Note,character varying(2048),NO,,,
executive_review_adjustments,ReviewerKey,character varying(64),NO,,,
executive_review_adjustments,WorkTaskId,uuid,NO,,YES,work_tasks.Id
executive_reviewers,Comment,character varying(2048),YES,,,
executive_reviewers,CompletedAt,timestamp with time zone,YES,,,
executive_reviewers,Id,uuid,NO,YES,,
executive_reviewers,ReviewOrder,integer,NO,,,
executive_reviewers,ReviewerKey,character varying(64),NO,,,
executive_reviewers,Status,character varying(32),NO,,,
executive_reviewers,WorkTaskId,uuid,NO,,YES,work_tasks.Id
expense_estimate_elements,EffectiveDate,date,NO,,,
expense_estimate_elements,Id,uuid,NO,YES,,
expense_estimate_elements,Kind,character varying(32),NO,,,
expense_estimate_elements,Name,character varying(256),NO,,,
expense_estimate_elements,UpdatedAt,timestamp with time zone,NO,,,
expense_estimate_elements,UpdatedByKey,character varying(64),NO,,,
fiscal_data,Category,character varying(32),NO,,,
fiscal_data,Id,uuid,NO,YES,,
fiscal_data,Name,character varying(256),NO,,,
fiscal_data,Source,character varying(256),YES,,,
fiscal_data,Unit,character varying(64),NO,,,
fiscal_data,UpdatedAt,timestamp with time zone,NO,,,
fiscal_work_papers,Content,text,NO,,,
fiscal_work_papers,CreatedAt,timestamp with time zone,NO,,,
fiscal_work_papers,CreatedByKey,character varying(64),NO,,,
fiscal_work_papers,Id,uuid,NO,YES,,
fiscal_work_papers,Title,character varying(512),NO,,,
fiscal_work_papers,WorkTaskId,uuid,NO,,,
generated_documents,Body,text,NO,,,
generated_documents,GeneratedAt,timestamp with time zone,NO,,,
generated_documents,GeneratedByKey,character varying(64),YES,,,
generated_documents,Id,uuid,NO,YES,,
generated_documents,TemplateId,uuid,NO,,,
generated_documents,Title,character varying(512),NO,,,
generated_documents,WorkItemId,uuid,NO,,,
implementation_tasks,AssignedAt,timestamp with time zone,NO,,,
implementation_tasks,AssignedByKey,character varying(64),YES,,,
implementation_tasks,AssignedTo,character varying(64),YES,,,
implementation_tasks,BillId,uuid,NO,,,
implementation_tasks,Division,character varying(128),YES,,,
implementation_tasks,DueDate,date,YES,,,
implementation_tasks,Id,uuid,NO,YES,,
implementation_tasks,RequiredWork,text,YES,,,
implementation_tasks,Status,character varying(32),NO,,,
implementation_tasks,Title,character varying(512),NO,,,
legacy_migration_batches,Id,uuid,NO,YES,,
legacy_migration_batches,ImportedAt,timestamp with time zone,NO,,,
legacy_migration_batches,ImportedByKey,character varying(64),YES,,,
legacy_migration_batches,Source,character varying(256),NO,,,
legacy_migration_batches,Status,character varying(32),NO,,,
migration_records,BatchId,uuid,NO,,,
migration_records,BatchOwnerId,uuid,NO,,YES,legacy_migration_batches.Id
migration_records,Id,uuid,NO,YES,,
migration_records,Note,character varying(1024),YES,,,
migration_records,SourceKey,character varying(128),NO,,,
migration_records,Status,character varying(32),NO,,,
migration_records,TargetWorkTaskId,uuid,YES,,,
notifications,Channel,integer,NO,,,
notifications,CreatedAt,timestamp with time zone,NO,,,
notifications,Id,uuid,NO,YES,,
notifications,IsRead,boolean,NO,,,
notifications,Message,text,NO,,,
notifications,RecipientKey,character varying(64),NO,,,
notifications,Trigger,integer,NO,,,
notifications,Type,character varying(32),NO,,,
package_members,AddedAt,timestamp with time zone,NO,,,
package_members,AddedByKey,character varying(64),YES,,,
package_members,Id,integer GENERATED BY,YES,,,
package_members,PackageId,uuid,NO,,YES,packages.Id
package_members,WorkItemId,uuid,NO,YES,,
package_recipients,AddedAt,timestamp with time zone,NO,,,
package_recipients,Id,uuid,NO,YES,,
package_recipients,Kind,character varying(32),NO,,,
package_recipients,Name,character varying(256),NO,,,
package_recipients,PackageId,uuid,NO,,YES,packages.Id
packages,CreatedAt,timestamp with time zone,NO,,,
packages,CreatedByKey,character varying(64),YES,,,
packages,Description,character varying(1024),YES,,,
packages,Id,uuid,NO,YES,,
packages,Name,character varying(256),NO,,,
packages,Status,character varying(32),NO,,,
packages,UpdatedAt,timestamp with time zone,NO,,,
shared_documents,ContentType,character varying(128),NO,,,
shared_documents,FileName,character varying(256),NO,,,
shared_documents,Id,uuid,NO,YES,,
shared_documents,ImplementationTaskId,uuid,NO,,YES,implementation_tasks.Id
shared_documents,SharedAt,timestamp with time zone,NO,,,
shared_documents,SharedByKey,character varying(64),YES,,,
shared_documents,SizeBytes,bigint,NO,,,
users,DisplayName,character varying(256),NO,,,
users,Id,uuid,NO,YES,,
users,IsActive,boolean,NO,,,
users,Role,character varying(32),NO,,,
users,UserKey,character varying(64),NO,,,
work_item_relationships,CreatedAt,timestamp with time zone,NO,,,
work_item_relationships,CreatedByKey,character varying(64),YES,,,
work_item_relationships,Id,uuid,NO,YES,,
work_item_relationships,SourceItemId,uuid,NO,,,
work_item_relationships,TargetItemId,uuid,NO,,,
work_item_relationships,Type,character varying(32),NO,,,
work_task_assignments,AssignedAt,timestamp with time zone,NO,,,
work_task_assignments,AssignedByKey,character varying(64),YES,,,
work_task_assignments,AssigneeKey,character varying(64),NO,,,
work_task_assignments,DueDate,date,YES,,,
work_task_assignments,Id,uuid,NO,YES,,
work_task_assignments,IsRework,boolean,NO,,,
work_task_assignments,IsSuperseded,boolean,NO,,,
work_task_assignments,Role,character varying(32),NO,,,
work_task_assignments,WorkTaskId,uuid,NO,,YES,work_tasks.Id
work_task_attachments,AddedAt,timestamp with time zone,NO,,,
work_task_attachments,AddedByKey,character varying(64),YES,,,
work_task_attachments,ContentType,character varying(128),NO,,,
work_task_attachments,FileName,character varying(256),NO,,,
work_task_attachments,Id,uuid,NO,YES,,
work_task_attachments,SizeBytes,bigint,NO,,,
work_task_attachments,WorkTaskId,uuid,NO,,YES,work_tasks.Id
work_task_audit_entries,Action,character varying(64),NO,,,
work_task_audit_entries,At,timestamp with time zone,NO,,,
work_task_audit_entries,ByKey,character varying(64),YES,,,
work_task_audit_entries,Detail,text,NO,,,
work_task_audit_entries,Id,uuid,NO,YES,,
work_task_audit_entries,WorkTaskId,uuid,NO,,YES,work_tasks.Id
work_task_comments,AuthorKey,character varying(64),NO,,,
work_task_comments,Body,text,NO,,,
work_task_comments,CreatedAt,timestamp with time zone,NO,,,
work_task_comments,Id,uuid,NO,YES,,
work_task_comments,WorkTaskId,uuid,NO,,YES,work_tasks.Id
work_task_versions,CapturedAt,timestamp with time zone,NO,,,
work_task_versions,CapturedByKey,character varying(64),YES,,,
work_task_versions,Content,text,YES,,,
work_task_versions,Id,uuid,NO,YES,,
work_task_versions,VersionNumber,integer,NO,,,
work_task_versions,WorkTaskId,uuid,NO,,YES,work_tasks.Id
work_tasks,Content,text,YES,,,
work_tasks,CreatedAt,timestamp with time zone,NO,,,
work_tasks,CustomerDueDate,date,YES,,,
work_tasks,Description,character varying(2048),YES,,,
work_tasks,DueDate,date,YES,,,
work_tasks,ExecutiveReviewStatus,character varying(32),NO,,,
work_tasks,Id,uuid,NO,YES,,
work_tasks,Identifier,character varying(64),NO,,,
work_tasks,IsConfidential,boolean,NO,,,
work_tasks,IsExecutiveReview,boolean,NO,,,
work_tasks,LastSavedAt,timestamp with time zone,YES,,,
work_tasks,Owner,character varying(64),YES,,,
work_tasks,Priority,character varying(32),NO,,,
work_tasks,RequiredReviewerKeys,text[],NO,,,
work_tasks,RequirementId,character varying(64),NO,,,
